season,name,balls_faced,boundary_count,boundary_percent
2015,AD Russell,175,54,30.86
2015,AJ Finch,33,4,12.12
2015,AM Rahane,423,66,15.6
2015,AN Ahmed,5,2,40.0
2015,AP Tare,18,1,5.56
2015,AR Patel,181,21,11.6
2015,AT Rayudu,195,34,17.44
2015,Ankit Sharma,6,1,16.67
2015,Anureet Singh,31,1,3.23
2015,Azhar Mahmood,8,1,12.5
2015,B Kumar,10,3,30.0
2015,BB McCullum,293,74,25.26
2015,BE Hendricks,2,0,0.0
2015,Bipul Sharma,2,0,0.0
2015,CH Gayle,359,77,21.45
2015,CH Morris,47,8,17.02
2015,CJ Anderson,98,17,17.35
2015,CM Gautam,5,0,0.0
2015,D Wiese,90,16,17.78
2015,DA Miller,274,42,15.33
2015,DA Warner,368,86,23.37
2015,DJ Bravo,151,27,17.88
2015,DJ Hooda,99,17,17.17
2015,DJ Muthuswami,3,0,0.0
2015,DJG Sammy,18,0,0.0
2015,DR Smith,341,68,19.94
2015,DS Kulkarni,12,0,0.0
2015,DW Steyn,13,3,23.08
2015,EJG Morgan,154,22,14.29
2015,F du Plessis,317,42,13.25
2015,G Gambhir,288,45,15.62
2015,GB Hogg,6,0,0.0
2015,GH Vihari,36,6,16.67
2015,GJ Bailey,196,29,14.8
2015,GJ Maxwell,115,21,18.26
2015,Gurkeerat Singh,41,4,9.76
2015,HH Pandya,68,17,25.0
2015,HV Patel,14,2,14.29
2015,Harbhajan Singh,81,18,22.22
2015,Imran Tahir,6,0,0.0
2015,Iqbal Abdulla,20,4,20.0
2015,J Botha,15,6,40.0
2015,J Suchith,33,6,18.18
2015,J Theron,1,0,0.0
2015,JA Morkel,70,11,15.71
2015,JP Duminy,327,47,14.37
2015,JP Faulkner,116,17,14.66
2015,KA Pollard,270,56,20.74
2015,KD Karthik,120,19,15.83
2015,KK Nair,147,23,15.65
2015,KL Rahul,133,13,9.77
2015,KM Jadhav,143,23,16.08
2015,KS Williamson,29,2,6.9
2015,KV Sharma,87,9,10.34
2015,Karanveer Singh,16,1,6.25
